"election","type","rgprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","V","4366400","10","1","7","0","0","0","0","0","0","0","2","5","5","0","0","0","0","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"g20","V","4366410","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","V","4366500","138","32","58","6","0","0","4","0","0","0","38","74","64","4","2","6","1","4","2","2","2","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","2","1","2","3","4","0","1","2","1","6","2","4","0","1","3","2","4","8","13","0","1","0","1","2","10","13","0","2","3","2","3","3","7","0","2","2","0","4","4","6","0","2","1","0","0","1","3","0","0","2","1","0","0","0","22","3","2","0","1","0","1","0","3","19","8","3","0","5","0","1","5","17","21","8","1","2","3","1","2","0","0","4","2","2","0","1","0","0","0","1"
"g20","V","4366600","17","3","9","0","0","0","0","0","0","0","5","7","10","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","1","0","0","2","0","1","0","1","0","0","1","0","3","0","0","0","0","0","0","1","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","4","2","0","0","1","0","0","0","2","0","2","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"g20","V","4366700","5","0","2","0","0","0","0","0","0","0","3","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"g20","V","4366800","48","3","33","1","0","0","0","0","0","0","11","27","21","1","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","2","2","3","3","8","0","1","0","1","4","5","3","0","1","0","0","4","2","0","0","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","18","0","3","2","1","0","1","1","7","5","2","2","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0"
"g20","V","4366900","83","25","42","2","0","0","0","0","0","0","14","41","42","4","0","1","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","1","1","7","0","1","1","0","0","2","10","0","1","2","0","2","5","9","0","3","1","2","3","6","8","0","3","1","2","0","3","2","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","16","2","4","0","0","1","0","0","2","14","3","2","2","0","0","3","2","16","9","3","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"g20","V","4367000","416","97","183","19","0","2","6","0","0","0","109","209","207","3","6","1","1","8","11","8","2","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","7","4","3","2","11","16","0","5","4","4","9","16","16","0","4","4","3","12","21","45","0","3","1","4","14","20","52","0","7","3","9","8","18","20","0","5","3","5","8","13","10","0","2","0","0","2","3","5","0","4","1","0","5","2","3","67","4","7","2","4","1","0","3","9","57","34","10","7","12","3","4","6","50","54","15","10","6","7","0","2","3","12","20","4","2","0","1","0","0","0","0"
"g20","V","4367200","306","73","144","9","0","1","2","0","0","0","77","156","150","3","3","6","0","7","4","2","2","0","0","0","0","0","0","0","0","0","1","3","0","5","1","1","0","0","3","0","0","0","0","0","0","0","4","5","5","6","4","9","0","2","5","5","9","10","9","0","4","7","7","2","15","34","0","2","4","5","13","15","36","0","7","5","3","10","10","12","1","4","3","2","5","6","9","0","0","2","1","1","2","1","0","1","0","0","1","2","1","53","9","4","0","0","0","3","1","3","62","20","5","2","10","2","5","6","32","43","10","8","0","3","0","3","1","9","8","2","0","0","0","0","0","0","2"
"g20","V","4367400","4","1","2","0","0","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
