"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"37","999497","75","50","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999498","75","50","38","4","233","0","0","0","0","0","0","0","0","0","201","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","95","0","109","0","90","1","106","0","0","1","91","118","72","123","73","139","56","91","104","117","78","103","89","124","66","155","40","59","134","141","49","86","99","111","79","0","0","0","0","0"
"37","999499","75","50","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999500","75","50","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999501","75","50","38","4","184","0","0","0","0","0","0","0","0","0","169","0","0","0","0","0","0","0","0","0","0","0","54","0","0","0","0","109","0","56","0","108","1","54","0","0","0","112","102","59","111","49","120","40","96","63","123","36","87","68","62","95","122","37","41","115","124","35","99","57","112","46","0","0","0","0","0"
"37","999502","75","50","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999503","75","50","38","4","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","2","2","0","2","0","2","0","2","0","2","0","2","0","0","2","2","0","0","2","2","0","2","0","2","0","0","0","0","0","0"
"37","999504","75","50","38","4","103","0","0","0","0","0","0","0","0","0","91","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","48","0","38","0","50","0","37","0","1","0","51","55","29","52","37","59","27","52","36","65","23","62","24","48","36","67","19","13","76","64","24","40","41","61","25","0","0","0","0","0"
"37","999505","75","50","38","4","247","0","0","0","0","0","0","0","0","0","208","0","0","0","0","0","0","0","0","0","0","0","77","0","0","0","0","116","0","84","0","114","0","89","1","2","0","115","121","79","140","63","146","52","108","91","127","71","103","93","118","79","145","52","46","156","147","50","105","91","130","58","0","0","0","0","0"
"37","999506","75","50","38","4","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","0","1","0","0","1","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0"
"37","999507","75","50","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999508","75","50","38","4","9","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","5","0","3","0","5","0","3","0","0","0","5","5","3","5","3","5","3","6","2","6","2","5","3","3","5","5","3","2","6","5","3","5","3","5","3","0","0","0","0","0"
"37","999509","77","50","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999510","77","50","38","4","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","0","0","0","0","0"
"37","999511","77","50","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999512","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999513","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999514","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999515","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999516","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999517","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999518","71","50","40","4","59","0","0","0","0","0","0","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","24","0","15","0","22","0","21","0","0","0","21","16","24","22","18","25","14","14","25","28","11","17","21","23","15","26","12","9","30","25","14","21","16","23","16","0","0","0","0","0"
"37","999519","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999520","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999521","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999522","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999523","71","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999524","71","50","40","4","19","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","13","0","5","0","14","0","5","0","0","0","14","9","6","17","2","13","5","9","6","16","2","6","12","11","4","13","5","2","16","16","2","8","7","12","2","0","0","0","0","0"
"37","999525","79","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999526","79","50","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999527","79","50","40","4","4","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","4","0","0","0","0","0","4","4","0","4","0","4","0","4","0","4","0","4","0","2","2","4","0","0","4","4","0","2","2","4","0","0","0","0","0","0"
"37","999528","71","51","38","4","240","0","0","0","0","0","0","0","0","0","205","0","0","0","0","0","0","0","0","0","0","0","42","0","0","0","0","147","0","51","0","142","0","51","0","0","0","154","146","52","159","44","178","25","145","56","161","42","124","77","89","108","163","34","37","162","166","34","130","68","145","53","0","0","0","0","0"
"37","999529","71","51","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999530","71","51","38","4","10","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","4","0","3","0","4","0","3","0","1","0","3","5","2","5","2","5","2","3","4","7","0","6","1","5","2","6","1","4","3","6","1","7","0","4","2","0","0","0","0","0"
"37","999531","71","51","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999532","71","51","38","4","191","0","0","0","0","0","0","0","0","0","155","0","0","0","0","0","0","0","0","0","0","0","56","0","0","0","0","94","0","59","0","92","0","55","2","4","0","91","90","60","105","48","106","46","91","62","118","34","94","57","81","69","116","38","49","104","104","49","82","64","108","42","0","0","0","0","0"
"37","999533","71","51","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","999534","79","51","39","4","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","0","1","1","0","0","1","1","0","0","1","1","0","0","0","0","0","1"
"37","999535","79","51","39","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
