ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2014,"2014",6908925,34460,"California","04000US06","california",0.5475764190063152
0,"Owner Occupied",2014,"2014",167183,1968.0000000000002,"Congressional District 36, CA","50000US0636","congressional-district-36-ca",0.6511636059124812
0,"Owner Occupied",2014,"2014",154793,2053,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.7228993872823731
0,"Owner Occupied",2014,"2014",149023,1882.0000000000002,"Congressional District 49, CA","50000US0649","congressional-district-49-ca",0.5977225872179305
0,"Owner Occupied",2014,"2014",147476,2060,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.6242766736512371
0,"Owner Occupied",2014,"2014",86037,1404,"Congressional District 51, CA","50000US0651","congressional-district-51-ca",0.43821752727494984
0,"Owner Occupied",2014,"2014",148138,1757,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.5402414963877654
0,"Owner Occupied",2014,"2014",131297,1759.9999999999998,"Congressional District 53, CA","50000US0653","congressional-district-53-ca",0.4999619212989406
0,"Owner Occupied",2013,"2013",75075700,345645,"United States","01000US","united-states",0.649386382947334
0,"Owner Occupied",2013,"2013",6939104,35627,"California","04000US06","california",0.5532490436485347
0,"Owner Occupied",2013,"2013",166754,1866,"Congressional District 36, CA","50000US0636","congressional-district-36-ca",0.6593073781348474
0,"Owner Occupied",2013,"2013",154751,2170,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.733608286520183
0,"Owner Occupied",2013,"2013",149379,1861,"Congressional District 49, CA","50000US0649","congressional-district-49-ca",0.6030179356448234
0,"Owner Occupied",2013,"2013",146971,2113,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.6304386058981233
0,"Owner Occupied",2013,"2013",87511,1287,"Congressional District 51, CA","50000US0651","congressional-district-51-ca",0.4459091071219293
0,"Owner Occupied",2013,"2013",147942,1711,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.5426316214174106
0,"Owner Occupied",2013,"2013",131758,1726.9999999999998,"Congressional District 53, CA","50000US0653","congressional-district-53-ca",0.5039799567770191
