ID Group,Group,ID Degree,Degree,ID Year,Year,ID Nation,Nation,ID State,State,Total Population
"Primary Education","Primary Education",10,"Grade 7",2017,"2017","01000US","United States","04000US06","California",646539
"Secondary Education","Secondary Education",11,"Grade 8",2017,"2017","01000US","United States","04000US06","California",858950
"Secondary Education","Secondary Education",12,"Grade 9",2017,"2017","01000US","United States","04000US06","California",1041793
"Secondary Education","Secondary Education",13,"Grade 10",2017,"2017","01000US","United States","04000US06","California",903082
"Secondary Education","Secondary Education",14,"Grade 11",2017,"2017","01000US","United States","04000US06","California",1142810
"Secondary Education","Secondary Education",15,"12th grade - no diploma",2017,"2017","01000US","United States","04000US06","California",819310
"Some college","Some college",18,"Some college, but less than 1 year",2017,"2017","01000US","United States","04000US06","California",1874148
"Some college","Some college",19,"1 or more years of college credit, no degree",2017,"2017","01000US","United States","04000US06","California",5436240
"Associates Degree","Associates Degree",20,"Associates Degree",2016,"2016","01000US","United States","04000US06","California",2181634
"Bachelors Degree","Bachelors Degree",21,"Bachelors Degree",2016,"2016","01000US","United States","04000US06","California",5476681
"Graduate Degree","Graduate Degree",22,"Masters Degree",2016,"2016","01000US","United States","04000US06","California",2054030
"Graduate Degree","Graduate Degree",23,"Professional degree",2016,"2016","01000US","United States","04000US06","California",596261
"Graduate Degree","Graduate Degree",24,"Doctorate degree",2016,"2016","01000US","United States","04000US06","California",394710
"High School or Equivalent","High School or Equivalent",16,"Regular high school diploma",2016,"2016","01000US","United States","04000US06","California",5821799
"High School or Equivalent","High School or Equivalent",17,"GED or alternative credential",2016,"2016","01000US","United States","04000US06","California",655827
"No Schooling","No Schooling",1,"No schooling completed",2016,"2016","01000US","United States","04000US06","California",1701594
"Preschool","Preschool",2,"Nursery school, preschool",2016,"2016","01000US","United States","04000US06","California",562814
"Preschool","Preschool",3,"Kindergarten",2016,"2016","01000US","United States","04000US06","California",529251
"Primary Education","Primary Education",4,"Grade 1",2016,"2016","01000US","United States","04000US06","California",529663
"Primary Education","Primary Education",5,"Grade 2",2016,"2016","01000US","United States","04000US06","California",599621
"Primary Education","Primary Education",6,"Grade 3",2016,"2016","01000US","United States","04000US06","California",691856
"Primary Education","Primary Education",7,"Grade 4",2016,"2016","01000US","United States","04000US06","California",624771
"Primary Education","Primary Education",8,"Grade 5",2016,"2016","01000US","United States","04000US06","California",669840
"Primary Education","Primary Education",9,"Grade 6",2016,"2016","01000US","United States","04000US06","California",1344302
"Primary Education","Primary Education",10,"Grade 7",2016,"2016","01000US","United States","04000US06","California",648852
"Secondary Education","Secondary Education",11,"Grade 8",2016,"2016","01000US","United States","04000US06","California",859740
"Secondary Education","Secondary Education",12,"Grade 9",2016,"2016","01000US","United States","04000US06","California",1067923
"Secondary Education","Secondary Education",13,"Grade 10",2016,"2016","01000US","United States","04000US06","California",915148
"Secondary Education","Secondary Education",14,"Grade 11",2016,"2016","01000US","United States","04000US06","California",1173452
"Secondary Education","Secondary Education",15,"12th grade - no diploma",2016,"2016","01000US","United States","04000US06","California",813946
"Some college","Some college",18,"Some college, but less than 1 year",2016,"2016","01000US","United States","04000US06","California",1867761
"Some college","Some college",19,"1 or more years of college credit, no degree",2016,"2016","01000US","United States","04000US06","California",5414439
"Associates Degree","Associates Degree",20,"Associates Degree",2015,"2015","01000US","United States","04000US06","California",2157736
"Bachelors Degree","Bachelors Degree",21,"Bachelors Degree",2015,"2015","01000US","United States","04000US06","California",5332332
"Graduate Degree","Graduate Degree",22,"Masters Degree",2015,"2015","01000US","United States","04000US06","California",1975222
"Graduate Degree","Graduate Degree",23,"Professional degree",2015,"2015","01000US","United States","04000US06","California",583209
"Graduate Degree","Graduate Degree",24,"Doctorate degree",2015,"2015","01000US","United States","04000US06","California",385156
"High School or Equivalent","High School or Equivalent",16,"Regular high school diploma",2015,"2015","01000US","United States","04000US06","California",5807836
"High School or Equivalent","High School or Equivalent",17,"GED or alternative credential",2015,"2015","01000US","United States","04000US06","California",646675
"No Schooling","No Schooling",1,"No schooling completed",2015,"2015","01000US","United States","04000US06","California",1690834
"Preschool","Preschool",2,"Nursery school, preschool",2015,"2015","01000US","United States","04000US06","California",551824
"Preschool","Preschool",3,"Kindergarten",2015,"2015","01000US","United States","04000US06","California",532448
"Primary Education","Primary Education",4,"Grade 1",2015,"2015","01000US","United States","04000US06","California",540578
"Primary Education","Primary Education",5,"Grade 2",2015,"2015","01000US","United States","04000US06","California",599868
"Primary Education","Primary Education",6,"Grade 3",2015,"2015","01000US","United States","04000US06","California",698251
"Primary Education","Primary Education",7,"Grade 4",2015,"2015","01000US","United States","04000US06","California",627882
"Primary Education","Primary Education",8,"Grade 5",2015,"2015","01000US","United States","04000US06","California",672422
"Primary Education","Primary Education",9,"Grade 6",2015,"2015","01000US","United States","04000US06","California",1357802
"Primary Education","Primary Education",10,"Grade 7",2015,"2015","01000US","United States","04000US06","California",654100
"Secondary Education","Secondary Education",11,"Grade 8",2015,"2015","01000US","United States","04000US06","California",865638
"Secondary Education","Secondary Education",12,"Grade 9",2015,"2015","01000US","United States","04000US06","California",1082403
"Secondary Education","Secondary Education",13,"Grade 10",2015,"2015","01000US","United States","04000US06","California",934585
"Secondary Education","Secondary Education",14,"Grade 11",2015,"2015","01000US","United States","04000US06","California",1201410
"Secondary Education","Secondary Education",15,"12th grade - no diploma",2015,"2015","01000US","United States","04000US06","California",806814
"Some college","Some college",18,"Some college, but less than 1 year",2015,"2015","01000US","United States","04000US06","California",1859163
"Some college","Some college",19,"1 or more years of college credit, no degree",2015,"2015","01000US","United States","04000US06","California",5395577
"Associates Degree","Associates Degree",20,"Associates Degree",2014,"2014","01000US","United States","04000US06","California",2125211
"Bachelors Degree","Bachelors Degree",21,"Bachelors Degree",2014,"2014","01000US","United States","04000US06","California",5185358
"Graduate Degree","Graduate Degree",22,"Masters Degree",2014,"2014","01000US","United States","04000US06","California",1904311
"Graduate Degree","Graduate Degree",23,"Professional degree",2014,"2014","01000US","United States","04000US06","California",573513
"Graduate Degree","Graduate Degree",24,"Doctorate degree",2014,"2014","01000US","United States","04000US06","California",368978
"High School or Equivalent","High School or Equivalent",16,"Regular high school diploma",2014,"2014","01000US","United States","04000US06","California",5725075
"High School or Equivalent","High School or Equivalent",17,"GED or alternative credential",2014,"2014","01000US","United States","04000US06","California",629808
"No Schooling","No Schooling",1,"No schooling completed",2014,"2014","01000US","United States","04000US06","California",1678297
"Preschool","Preschool",2,"Nursery school, preschool",2014,"2014","01000US","United States","04000US06","California",541839
"Preschool","Preschool",3,"Kindergarten",2014,"2014","01000US","United States","04000US06","California",538523
"Primary Education","Primary Education",4,"Grade 1",2014,"2014","01000US","United States","04000US06","California",544429
