"election","type","rgprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","R","1754000","751","309","179","37","2","8","13","3","3","0","197","373","378","63","23","33","5","13","9","10","4","2","2","2","0","1","0","1","0","5","4","1","2","2","0","1","0","3","3","2","1","5","1","7","2","0","25","35","26","18","11","19","0","24","43","43","23","16","26","0","6","10","18","14","25","26","0","2","9","9","16","15","29","0","16","35","23","12","6","13","0","15","9","29","15","9","15","0","5","9","6","7","4","4","0","6","9","3","5","4","4","207","42","18","2","7","2","3","2","26","99","17","12","0","8","2","3","5","33","117","31","22","5","6","1","5","2","8","37","10","8","0","3","0","1","1","6"
"g20","R","1754100","739","348","140","33","5","10","10","0","5","0","188","362","377","57","22","39","8","16","12","5","4","1","0","0","1","1","0","0","0","4","3","5","1","4","1","1","2","0","0","0","0","5","2","3","2","0","26","42","20","17","23","22","0","20","55","31","32","31","29","0","5","14","10","11","8","16","0","8","9","6","16","15","22","0","17","34","25","18","8","10","0","11","26","18","7","6","8","0","4","13","6","9","2","2","0","4","9","6","1","5","2","243","32","26","3","8","2","4","5","25","77","15","11","3","8","1","6","2","17","100","43","18","2","4","2","7","2","10","48","8","3","0","2","1","0","0","1"
"g20","R","1756000","429","164","143","13","0","6","4","0","2","0","97","225","204","34","8","15","7","9","4","5","0","0","0","0","0","0","0","0","0","2","4","3","1","2","1","6","1","6","0","4","3","0","0","1","0","0","13","16","9","14","9","12","0","10","13","20","16","17","15","0","6","5","13","14","22","21","0","4","3","5","6","16","28","0","11","13","13","6","7","7","0","4","8","10","5","6","7","0","1","4","3","2","2","2","0","3","2","2","0","1","3","89","18","17","3","4","2","6","2","23","56","16","11","0","4","3","5","4","44","45","22","8","4","5","1","4","2","6","15","3","4","0","0","0","1","0","2"
"g20","R","1760000","504","204","152","22","2","2","3","0","1","1","117","252","252","34","23","18","3","3","6","6","1","0","0","0","0","0","1","0","0","4","0","3","0","0","0","0","0","1","3","2","0","3","0","1","1","0","9","13","16","20","19","21","0","5","9","26","13","23","30","0","7","5","12","14","18","27","0","0","5","7","11","19","27","0","9","12","18","7","6","4","0","6","9","19","15","4","8","0","4","4","2","3","2","0","0","2","0","4","3","3","4","94","30","21","7","5","1","6","9","31","57","16","14","4","9","5","5","4","38","62","27","13","2","2","2","1","1","7","13","5","7","1","1","0","0","1","3"
"g20","R","1761000","405","149","150","9","1","1","2","1","1","0","91","194","211","20","4","10","2","5","5","2","0","0","1","1","0","1","1","0","0","0","0","5","0","3","0","1","0","1","3","1","0","2","1","1","0","0","5","6","13","7","3","16","0","5","17","15","16","19","27","0","3","7","18","14","23","21","0","2","9","10","10","10","23","0","7","9","12","9","3","10","0","5","7","11","8","9","1","0","0","0","4","1","0","3","0","0","2","2","2","0","1","83","13","5","2","4","0","6","5","31","60","11","12","3","8","4","2","6","44","34","14","14","5","7","2","4","0","11","7","4","2","0","1","0","0","0","1"
"g20","R","1761100","166","70","52","4","0","2","1","0","0","0","37","87","79","11","10","6","4","5","2","1","1","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","4","6","7","7","6","6","0","2","5","6","4","5","12","0","3","3","5","4","3","6","0","2","5","1","4","6","10","0","2","10","3","4","1","2","0","1","4","4","3","0","3","0","1","1","2","1","0","0","0","0","0","1","0","0","1","41","9","4","0","5","3","1","1","6","28","8","5","0","1","2","0","0","8","20","11","1","0","1","0","1","0","3","4","1","0","0","0","0","0","0","2"
"g20","R","1763000","271","113","68","10","1","2","3","0","0","0","74","124","147","25","12","16","5","1","3","4","0","0","0","0","0","0","0","0","0","1","2","1","0","3","0","3","0","3","1","3","0","3","0","1","0","0","6","4","6","5","6","15","0","6","10","16","10","11","18","0","0","4","4","5","12","10","0","1","1","7","3","8","13","0","6","6","8","6","6","4","0","3","6","10","9","3","7","0","0","2","5","2","0","2","0","0","3","1","1","0","0","60","13","6","1","3","1","6","5","18","38","8","6","1","3","1","0","1","10","35","23","7","1","2","0","2","0","4","9","4","0","0","0","3","0","0","0"
"g20","R","1763100","126","43","46","10","0","0","2","0","0","0","25","66","60","8","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","5","4","4","2","1","4","0","3","4","6","2","4","4","0","3","1","5","4","6","7","0","1","4","3","1","5","6","0","1","3","6","0","2","4","0","1","1","2","1","1","3","0","1","0","0","0","2","1","0","0","1","3","0","3","1","22","8","4","1","2","0","0","0","6","24","6","4","0","4","1","0","2","5","11","8","3","0","0","0","1","0","2","8","1","1","0","1","0","0","0","1"
"g20","R","1764000","583","256","152","15","2","4","5","0","1","0","148","294","289","39","13","22","3","9","3","4","0","0","0","2","0","1","0","2","0","1","1","1","0","2","0","1","0","8","0","3","0","1","2","4","0","0","10","20","22","17","10","30","0","15","18","27","21","28","38","0","8","8","7","16","27","22","0","1","3","6","14","13","27","0","12","18","13","18","7","18","0","8","9","19","9","4","13","0","2","0","4","1","4","0","0","3","3","5","2","2","1","137","31","11","5","14","6","11","7","34","65","15","12","1","3","7","5","6","38","66","27","16","5","7","2","8","7","10","16","5","4","0","1","0","0","0","1"
"g20","R","1765000","580","243","163","20","1","5","4","1","2","0","141","282","298","31","14","14","4","19","7","7","1","0","0","1","1","1","2","0","0","3","0","2","1","0","0","0","0","0","2","2","0","3","0","3","0","0","6","16","21","21","11","23","0","10","19","24","27","23","42","0","3","5","15","22","17","26","0","3","5","16","8","12","31","0","13","13","14","14","7","17","0","6","10","13","13","5","16","0","3","3","4","4","1","3","0","3","1","1","4","3","3","107","33","23","3","8","1","13","7","48","63","25","11","2","8","3","7","4","40","64","31","12","8","7","2","6","2","9","18","4","3","1","1","0","0","1","5"
